Trip ID,Drone ID,Distance Traveled,Routing Algorithm,Battery Used (%),No. Recharge Sessions
1,1,2472.22,astar,192.934,4
3,4,2762.67,astar,197.226,4
6,6,1968.57,astar,155.907,2
5,3,2900.14,astar,237.833,4
2,2,4047.33,astar,282.784,6
8,1,1863.17,astar,148.055,4
7,9,4215.5,astar,2106.88,42
9,4,4095.16,astar,305.58,6
4,5,4918.25,astar,336.104,8
10,6,2228.6,astar,260.687,6
12,2,3015.51,astar,223.018,4
13,3,2373.66,astar,201.225,4
16,10,1978.51,astar,1948.55,38
14,8,3136.21,astar,227.977,4
15,1,3589.98,astar,260.566,4
17,5,3350.81,astar,234.789,4
18,4,2903.29,astar,210.529,4
19,2,2827.55,astar,205.67,4
22,6,1478.46,astar,162.618,2
11,7,4728.99,astar,1923.83,40
20,3,2470.12,astar,188.856,4
21,8,3332.82,astar,1814.95,36
27,3,893.822,astar,153.516,2
25,4,1765.36,astar,130.908,2
23,1,2834.85,astar,206.057,4
28,6,970.543,astar,128.853,4
26,2,2119.95,astar,167.489,4
29,4,1353.65,astar,257.733,6
30,1,1579.15,astar,129.691,4
33,6,1274.44,astar,152.852,2
31,2,1767.21,astar,144.89,2
24,5,5574.92,astar,1735.64,34
32,3,1628.77,astar,125.807,4
34,1,1318.96,astar,95.8885,2
36,3,1697.86,astar,324.617,6
35,2,2146.33,astar,151.218,4
38,6,833.523,astar,1355.74,28
39,4,3105.03,astar,335.626,6
37,1,5371.8,astar,390.328,8
40,2,4869.55,astar,359.973,8
41,3,1963.01,astar,574.848,12
42,1,3250.23,astar,523.991,10
43,4,2468.61,astar,527.436,10
44,2,7020.78,astar,591.376,10
47,4,563.613,dfs,68.7221,2
45,1,3546.04,dfs,271.175,6
48,3,2222.47,dfs,180.031,2
49,4,1788.5,dfs,201.767,4
46,2,3299.36,dfs,283.903,6
50,3,1132.2,dfs,185.398,4
51,1,1307.61,dfs,111.675,2
52,2,776.559,dfs,102.345,2
53,4,1611.82,dfs,183.625,4
56,3,1514.28,dfs,287.952,6
54,1,3603.07,dfs,314.212,6
55,2,3274.04,dfs,319.671,8
57,4,1526.67,dfs,241.739,4
58,1,913.224,dfs,63.0041,0
59,1,5681.53,dfs,391.599,8
60,2,5196.24,dfs,375.289,6
62,4,4495.4,dfs,358.536,8
66,8,2842.71,dfs,356.002,8
64,7,3898.57,dfs,370.666,6
61,3,5287.57,dfs,374.402,8
63,5,5354,dfs,413.513,10
68,10,2243.81,dfs,346.033,8
65,6,4363.4,dfs,402.568,8
67,9,4915.97,dfs,447.896,8
69,11,4485.21,dfs,358.7,8
70,1,4277.2,dfs,337.126,8
71,2,4750.71,dfs,352.671,8
76,6,2621.76,dfs,384.054,8
74,5,4300.71,dfs,450.146,8
73,4,4025.01,dfs,379.843,8
72,3,6104.43,dfs,435.736,8
75,7,3562.5,dfs,403.838,8
78,9,2838.86,dfs,1518.81,30
79,11,2195.79,dfs,1440.19,28
77,8,4233.03,dfs,430.962,8
82,2,2644.13,dfs,176.9,4
81,1,3488.61,dfs,244.066,4
80,10,4649.36,dfs,1493.11,28
83,3,4674.32,dfs,324.135,8
85,2,2615.41,dijkstra,204.639,4
84,4,4023.51,dijkstra,400.036,8
87,5,2937.69,dijkstra,206.596,4
89,6,2356.91,dijkstra,243.061,4
90,8,1700.36,dijkstra,519.287,10
86,1,3663.01,dijkstra,247.448,6
91,3,1747.59,dijkstra,137.06,2
92,2,2157.71,dijkstra,154.765,2
88,7,4315.14,dijkstra,315.958,6
93,5,2810.54,dijkstra,222.241,4
94,1,3184.21,dijkstra,227,4
95,3,2728.63,dijkstra,193.408,4
99,4,2076.52,dijkstra,142.526,2
98,7,2535.79,dijkstra,178.512,4
102,3,1218,dijkstra,93.261,2
100,5,1968.65,dijkstra,226.355,6
96,2,4072.31,dijkstra,278.833,6
101,1,2912.42,dijkstra,195.157,4
97,6,4894.43,dijkstra,344.556,6
103,4,2512.15,dijkstra,172.579,4
105,3,2646.27,dijkstra,207.636,4
107,1,1653.48,dijkstra,117.872,2
104,7,3130.95,dijkstra,237.681,6
108,6,2887.77,dijkstra,805.746,16
111,1,1775.69,dijkstra,137.442,2
106,2,4316.27,dijkstra,547.84,10
109,4,2714.96,dijkstra,832.794,16
110,5,3972.45,dijkstra,844.759,16
113,7,2497.91,dijkstra,718.624,14
112,3,3564.49,dijkstra,813.355,16
115,1,2783.57,dijkstra,256.999,6
114,8,3536.08,dijkstra,739.637,16
116,1,2430.8,dijkstra,420.106,8
117,2,1623.37,dijkstra,405.644,8
118,1,975.273,dijkstra,82.1648,2
